"Country name","Year","Population","Population of children under the age of 1","Population of children under the age of 5","Population of children under the age of 15","Population under the age of 25","Population aged 15 to 64 years","Population at age 1","Population aged 1 to 4 years","Population aged 5 to 9 years","Population aged 10 to 14 years","Population aged 15 to 19 years","Population aged 20 to 29 years","Population aged 30 to 39 years","Population aged 40 to 49 years","Population aged 50 to 59 years","Population aged 60 to 69 years","Population aged 70 to 79 years","Population aged 80 to 89 years","Population aged 90 to 99 years","Population older than 100 years","population__all__15plus__records","population__all__18plus__records"
"Ethiopia",2019,114120590,3607211,16943408,46430750,70561240,64147670,3476008,13336198,15190255,14297088,12897729,20731754,13698349,8928520,5958683,3386616,1658087,403343,26529,232,67689610,59754730
"Ethiopia",2020,117190920,3695352,17382914,47243396,71974800,66279330,3579771,13687562,15381580,14478903,13185850,21362484,14284810,9247269,6176141,3523136,1717145,422468,27986,231,69947290,61857060
"Europe (UN)",2015,742107460,7945178,40181110,117471784,199960430,494153700,7984558,32235936,39723720,37566956,38468184,95426060,104771750,104952920,104750904,85126504,56525240,29472564,5027928,113595,624522050,601780740
"Europe (UN)",2016,743318600,7897989,40125160,118164580,198967280,492273570,7979269,32227172,40224576,37814840,38216430,93340300,104902320,104696420,104827560,87153170,56532700,30044956,5331069,109088,625044900,602354700
"Europe (UN)",2017,744449340,7718792,39823770,118745630,198253540,490424640,7931461,32104978,40636160,38285700,38040340,91162310,105128520,104454350,104745810,88401200,57239050,30803666,5624437,104049,625599700,602962200
"Europe (UN)",2018,745359100,7427380,39266350,118979570,197680030,488725120,7756463,31838972,40786188,38927028,38016360,88990980,105345224,104236030,104565910,89469090,58103690,31632830,5917016,102448,626277100,603637100
"Europe (UN)",2019,746189630,7181025,38518496,118900850,197175440,487103200,7471683,31337472,40772184,39610164,38121490,86937200,105393650,104141096,104287340,90422296,59185616,32458658,6232959,108488,627180300,604424260
"Europe (UN)",2020,746225340,6982498,37554164,118539870,196563870,485164380,7216262,30571664,40783260,40202452,38249720,84999340,105094744,104159090,103832080,91386270,60283756,33059796,6495094,125584,627559900,604582660
"Faeroe Islands",2015,48848,626,3162,10251,16767,30286,642,2536,3446,3643,3506,5544,5503,6591,6328,5431,3529,1777,381,7,38590,36512
"Faeroe Islands",2016,49523,643,3232,10309,16859,30637,645,2589,3415,3662,3447,5839,5566,6534,6436,5535,3661,1806,379,11,39203,37119
"Faeroe Islands",2017,50259,684,3354,10430,16992,31020,664,2670,3407,3669,3441,6053,5662,6446,6578,5606,3812,1826,394,11,39818,37679
"Faeroe Islands",2018,50978,711,3477,10545,17145,31448,699,2766,3413,3655,3534,6143,5811,6397,6667,5665,3964,1838,404,10,40423,38234
"Faeroe Islands",2019,51708,725,3578,10708,17331,31849,718,2853,3471,3659,3631,6100,6038,6426,6688,5698,4143,1850,417,9,40991,38775
"Faeroe Islands",2020,52440,705,3626,10845,17542,32254,727,2921,3552,3667,3679,6032,6331,6488,6717,5697,4319,1873,453,6,41589,39351
"Falkland Islands",2015,3431,44,209,614,998,2431,42,165,199,206,189,425,537,648,504,232,202,71,9,0,2817,2705
"Falkland Islands",2016,3527,43,219,640,1023,2507,46,176,206,215,187,437,548,666,534,235,196,76,8,0,2887,2776
"Falkland Islands",2017,3619,41,223,659,1044,2579,44,182,216,220,186,449,557,676,564,246,191,83,8,0,2960,2847
"Falkland Islands",2018,3674,42,222,669,1058,2619,41,180,226,221,190,446,559,677,588,263,183,90,9,0,3005,2888
"Falkland Islands",2019,3729,42,221,677,1072,2657,42,179,234,222,198,437,566,676,601,289,181,93,11,0,3052,2928
"Falkland Islands",2020,3764,43,215,675,1080,2689,42,172,238,222,208,428,566,668,616,316,180,96,11,0,3089,2957
"Fiji",2015,917209,19485,96865,277251,438313,596073,19473,77380,95408,84978,79944,159361,140926,101411,86648,47111,19683,4482,386,6,639952,592244
"Fiji",2016,918371,19219,96047,276369,435137,597309,19330,76828,94824,85498,78840,157830,142221,101704,87365,48819,20189,4655,374,5,641997,594657
"Fiji",2017,919022,18823,95081,274910,431592,598220,19061,76258,93637,86192,78122,156112,142799,102689,87696,50647,20804,4871,367,5,644107,596808
"Fiji",2018,919002,18433,93794,272851,427824,598754,18661,75361,92314,86743,77909,153955,142888,104192,87690,52564,21464,5115,369,5,646146,598683
"Fiji",2019,918472,18155,92293,270398,424049,598996,18269,74138,91100,87005,78016,151652,142433,106072,87540,54480,22135,5369,372,5,648069,600359
"Fiji",2020,920430,17891,90840,268642,421746,600795,18014,72949,90480,87322,78512,149829,142168,108580,87450,56622,22629,5613,380,5,651783,603733
"Finland",2015,5479457,56617,297265,896326,1540828,3475879,58407,240648,305952,293109,303871,681655,701304,671111,744488,752409,447838,236220,43480,755,4582376,4404417
"Finland",2016,5495217,54361,290968,895112,1532133,3463575,56934,236607,308315,295829,299914,682275,702966,666405,740328,749948,472521,239304,45656,788,4599317,4421934
"Finland",2017,5508146,51877,283039,892322,1521061,3451184,54703,231162,309488,299795,297359,682447,702961,662649,736297,742099,500634,243017,47538,823,4615001,4438218
"Finland",2018,5515465,49131,273118,886357,1506520,3437036,52243,223987,309547,303692,296108,678637,704446,659349,733602,731015,527263,248248,49582,858,4628250,4452408
"Finland",2019,5521539,46710,261828,876668,1490236,3426830,49517,215118,307659,307181,296415,672415,708839,659418,728660,720678,550934,254703,51939,870,4644001,4467068
"Finland",2020,5529468,46141,251482,865987,1474599,3419895,47109,205341,303628,310877,297441,665490,715143,663657,719742,713893,574260,258414,54518,923,4662558,4483222
"France",2015,63809770,739306,3787148,11605042,19026760,40013828,748370,3047842,3915013,3902881,3796374,7401183,7925510,8634157,8302788,7690577,4592034,3114581,725711,21811,52182916,49871390
"France",2016,63989320,720486,3734916,11565754,18986278,39928264,736757,3014430,3928860,3901978,3839237,7331008,7947121,8546832,8331998,7787544,4718244,3134710,767468,19402,52404164,50052464
"France",2017,64144092,705194,3675025,11517823,18943788,39843388,717809,2969831,3928723,3914075,3877091,7259390,7966253,8471611,8347548,7783583,4947096,3153106,803037,17554,52608716,50239144
"France",2018,64277812,692952,3609795,11464214,18914756,39758624,702461,2916843,3919423,3934996,3901694,7199079,7969163,8417013,8352976,7758035,5198524,3166794,833226,17093,52796504,50433260
"France",2019,64399760,683794,3541429,11399844,18896946,39684412,690298,2857635,3896919,3961496,3912698,7159861,7959632,8364406,8359762,7733994,5449990,3179910,861741,17922,52981990,50634640
"France",2020,64480052,669559,3470982,11317637,18859518,39615450,681308,2801423,3857909,3988746,3910140,7147821,7915512,8324723,8375288,7716794,5702297,3164882,883364,21595,53140820,50798620
"French Guiana",2015,257033,6519,29774,86572,129512,158676,6139,23255,29046,27752,24281,36542,35789,32090,22332,12717,4996,1546,167,1,170460,155232
"French Guiana",2016,262825,6699,30749,87834,132616,162444,6510,24050,29016,28069,25301,37310,35896,32759,23108,13510,5319,1612,175,1,174990,159248
"French Guiana",2017,269363,6919,32026,89287,136177,166689,6697,25107,28840,28421,26182,38557,36168,33382,23926,14319,5683,1674,184,1,180075,163884
"French Guiana",2018,276659,7125,33428,90924,140055,171439,6926,26303,28768,28728,26969,40269,36480,34000,24876,15111,6086,1750,192,2,185733,169184
"French Guiana",2019,284088,7278,34592,92656,143858,176174,7130,27314,29115,28949,27604,42233,36646,34581,25905,15898,6529,1833,201,2,191430,174636
"French Guiana",2020,290978,7381,35448,94397,147239,180328,7275,28067,29850,29099,27994,44150,36688,35029,26912,16665,7019,1913,209,2,196579,179634
"French Polynesia",2015,291796,4434,22787,70238,116606,199612,4468,18353,23807,23644,22957,47732,43684,40744,33584,19099,10502,2885,358,13,221545,207518
"French Polynesia",2016,293552,4305,22259,69468,115229,201216,4419,17954,23930,23279,23035,46841,44710,40458,34655,19898,10959,3108,405,15,224069,209720
"French Polynesia",2017,295456,4180,21774,68678,114000,202854,4293,17594,23832,23072,23224,46065,45585,40167,35647,20852,11399,3378,445,16,226762,212249
"French Polynesia",2018,297615,4101,21350,68021,112932,204461,4170,17249,23519,23152,23416,45176,46604,39859,36536,21954,11862,3692,478,17,229577,215265
"French Polynesia",2019,299730,3993,20883,67436,111904,205832,4092,16890,23083,23470,23303,44446,47594,39598,37329,23144,12326,4030,506,18,232276,218381
"French Polynesia",2020,301935,3893,20369,66781,111138,207258,3986,16476,22622,23790,23005,44148,48202,39616,38041,24426,12781,4385,531,19,235135,221573
"Gabon",2015,2028524,60635,289776,743648,1123413,1205426,59284,229141,244612,209260,190179,372904,295980,189292,116980,70139,35685,12107,1548,62,1284814,1169572
"Gabon",2016,2086210,61282,295202,764190,1148294,1240619,60203,233920,254095,214893,193444,377883,308142,198187,121701,72282,36461,12298,1559,63,1321957,1204356
"Gabon",2017,2140225,61675,299337,784000,1171692,1272873,60850,237662,263632,221031,196867,380627,319182,207180,126526,74441,37294,12487,1561,60,1356165,1236101
"Gabon",2018,2192013,61846,302475,802921,1194233,1303741,61244,240629,272649,227797,200550,382118,329325,216421,131510,76756,38121,12678,1558,55,1389037,1266392
"Gabon",2019,2242788,61886,304611,820793,1216602,1334533,61424,242725,280759,235423,204737,383187,338656,225968,136714,79252,39005,12861,1564,51,1421944,1296533
"Gabon",2020,2292583,61882,305857,837417,1239057,1365648,61474,243975,287545,244015,209445,384326,347039,235815,142176,81759,40010,12987,1562,47,1455119,1326578
"Gambia",2015,2253137,81794,393507,1021910,1462201,1172681,80437,311713,342560,285843,239419,368244,256756,176919,103335,49530,27852,8381,782,9,1231218,1082153
"Gambia",2016,2317212,82131,398290,1046578,1500130,1211587,81009,316159,352175,296113,247112,378704,264091,182675,109275,51034,28525,8439,770,9,1270625,1117025
"Gambia",2017,2381189,82421,401769,1069982,1537100,1251436,81382,319348,361241,306972,254924,389599,271638,188414,115207,53013,29135,8508,761,8,1311199,1153071
"Gambia",2018,2444916,82785,404375,1091675,1573182,1292542,81713,321590,369745,317555,263058,401159,279344,194131,121072,55649,29489,8581,751,7,1353234,1189905
"Gambia",2019,2508882,83290,406668,1111663,1608775,1335289,82106,323378,377289,327706,271882,413283,287242,199912,126865,59081,29519,8686,743,6,1397213,1227949
"Gambia",2020,2574005,84038,409205,1130640,1644652,1380167,82653,325167,383670,337765,281435,426164,295657,205871,132494,62872,29387,8738,742,5,1443360,1267721
"Georgia",2015,3771135,58308,276653,730885,1222863,2514141,56405,218345,243335,210897,225858,557946,521720,481311,516622,371206,250027,107137,8318,105,3040145,2907657
"Georgia",2016,3771112,58369,280406,745486,1217032,2495217,58058,222037,253309,211771,220093,541811,526413,479127,513960,385278,239570,109704,9569,101,3025525,2896887
"Georgia",2017,3771904,56653,283121,759165,1213442,2477963,58159,226468,261226,214818,214749,526370,531631,478851,508979,396157,231938,113194,10775,95,3012644,2886310
"Georgia",2018,3772323,54679,283152,771447,1212921,2462245,56484,228473,267109,221186,210586,511316,537003,479487,502281,404769,226710,116863,11767,94,3000782,2875662
"Georgia",2019,3770814,52058,278784,781031,1213969,2447038,54532,226726,271174,231073,208529,494892,542590,480341,494255,412578,223814,120187,12499,98,2989685,2865015
"Georgia",2020,3765912,49360,270059,787338,1215226,2432454,51932,220699,274871,242408,208456,477226,548633,481468,485025,420213,222990,121549,12910,104,2978470,2853068
"Germany",2015,82073230,734346,3576141,10837498,19687644,54041000,719535,2841795,3546944,3714413,4194386,9981782,10066843,11739699,12882301,9343600,8392012,3929426,691411,14271,71221460,68748504
"Germany",2016,82331430,766058,3672786,10924699,19687756,54005050,744728,2906728,3582204,3669709,4182754,9947313,10220329,11293662,13124249,9679297,8124703,4099406,722168,12850,71393880,68959740
"Germany",2017,82624370,787654,3786537,11064610,19769654,53952016,776442,2998883,3618567,3659506,4124606,9909096,10382282,10894664,13318739,9954366,7929246,4286628,748882,11252,71548510,69159910
"Germany",2018,82896696,785206,3883514,11208995,19855500,53865630,797165,3098308,3651130,3674351,4050257,9835303,10550544,10553014,13444570,10187124,7770618,4499123,786402,10745,71676950,69339260
"Germany",2019,83148140,779257,3950929,11340566,19928400,53739250,793928,3171672,3700201,3689436,3982625,9724119,10705647,10280530,13474592,10404435,7624073,4756267,842846,12441,71795140,69495210
"Germany",2020,83328990,769576,3980143,11459030,19987182,53567804,787110,3210567,3769228,3709659,3916286,9593300,10821919,10108496,13389920,10619714,7500977,5008141,895398,15809,71854150,69575020
"Ghana",2015,28870946,876723,4208600,11218818,16669275,16746087,858322,3331877,3704897,3305321,2835601,5075292,4092406,2456740,1743222,898992,417665,124502,7678,30,17652098,15899486
"Ghana",2016,29554298,879778,4269377,11431858,16980480,17187222,869505,3389599,3779217,3383264,2920455,5114873,4224909,2561510,1787935,953667,422289,128590,8181,31,18122408,16307562
"Ghana",2017,30222266,861120,4291790,11612906,17272094,17640376,873032,3430670,3867603,3453513,3012898,5157004,4343755,2685278,1827551,1013360,428312,132463,8708,32,18609328,16735416
"Ghana",2018,30870648,859051,4295278,11777392,17553360,18086174,854750,3436227,3961377,3520737,3102571,5203505,4440260,2825383,1863604,1075147,437507,136017,9227,34,19093222,17170438
"Ghana",2019,31522294,871977,4303457,11942791,17845230,18529162,852931,3431480,4049050,3590284,3185605,5261750,4522821,2971993,1899420,1137157,451761,139208,9751,37,19579466,17616276
"Ghana",2020,32180402,875633,4305004,12093915,18144628,18990580,866223,3429371,4129407,3659504,3267132,5341946,4597934,3124247,1937521,1198391,467854,141193,10226,43,20086444,18077056
"Gibraltar",2015,32546,424,1966,5792,9803,20956,391,1542,1906,1920,1962,3962,4270,4463,4376,3837,2303,1292,279,10,26744,25556
"Gibraltar",2016,32590,412,1973,5782,9752,20838,422,1561,1907,1902,1960,3927,4197,4380,4439,3812,2471,1314,298,10,26798,25629
"Gibraltar",2017,32628,378,1968,5772,9663,20728,411,1590,1911,1893,1930,3917,4105,4343,4463,3844,2587,1337,320,10,26846,25703
"Gibraltar",2018,32677,368,1959,5755,9592,20650,378,1591,1901,1895,1892,3926,4033,4316,4481,3869,2680,1372,340,13,26909,25794
"Gibraltar",2019,32715,361,1930,5712,9538,20590,368,1569,1897,1885,1889,3931,3962,4289,4489,3884,2771,1412,361,15,26988,25879
"Gibraltar",2020,32739,355,1862,5640,9485,20532,361,1507,1912,1866,1902,3941,3889,4269,4477,3902,2878,1442,381,18,27081,25930
"Greece",2015,10806644,89759,491530,1572421,2691318,6985950,92782,401771,547520,533371,546497,1185692,1556467,1617656,1444335,1244791,979707,579655,77227,2196,9232027,8905873
"Greece",2016,10749742,89203,476393,1556441,2674398,6925283,91407,387190,548790,531258,549857,1158378,1507373,1615078,1451755,1250721,986071,589151,82799,2118,9191183,8860065
"Greece",2017,10692230,87710,465459,1541614,2654894,6865410,91066,377749,543607,532548,551981,1135195,1456081,1605358,1465032,1256011,992979,597100,88818,2061,9148555,8815409
"Greece",2018,10633275,85191,457151,1525986,2636206,6808520,89709,371960,531931,536904,553585,1112958,1405417,1591985,1481963,1263952,996634,603516,95242,2037,9105252,8774495
"Greece",2019,10574026,82872,449823,1509032,2616840,6751346,87168,366951,515360,543849,553401,1094771,1349712,1582508,1497011,1274837,1000550,608379,101781,2043.9999,9062950,8736221
"Greece",2020,10512232,81641,442168,1490359,2596001,6690111,84742,360527,498058,550133,550385,1090366,1282079,1574514,1512622,1284482,1009057,608802,107481,2085,9019788,8695033
"Greenland",2015,55916,799,3901,11789,20173,39759,775,3102,3924,3964,3922,8875,7262,7936,8951,4569,2062,508,42,0,44127,41804
"Greenland",2016,55941,820,3924,11693,19967,39751,791,3104,3893,3876,3876,8899,7479,7382,9192,4750,2115,513,42,0,44248,41947
"Greenland",2017,55951,821,3953,11628,19743,39699,810,3132,3863,3812,3800,8896,7704,6889,9369,4954,2154,515,42,0,44323,42073
"Greenland",2018,55954,832,3999,11618,19522,39590,815,3167,3831,3788,3688,8859,7926,6481,9453,5187,2179,517,46,0,44336,42156
"Greenland",2019,55955,853,4066,11662,19323,39438,830,3213,3804,3792,3561,8780,8150,6193,9406,5447,2187,520,49,0,44293,42177
"Greenland",2020,56049,840,4117,11714,19176,39293,852,3277,3798,3799,3496,8623,8367,6048,9237,5747,2218,545,54,0,44335,42234
"Grenada",2015,118994,2070,10215,28513,48800,79536,2059,8145,9530,8768,9658,22455,16779,13079,13120,7725,4787,2533,340,5,90476,84713
"Grenada",2016,119973,2067,10252,28737,48485,80118,2063,8185,9723,8762,9493,22028,17658,13000,13281,8083,4743,2585,358,7,91229,85581
"Grenada",2017,120934,2059,10267,29062,48267,80571,2060,8208,9886,8909,9253,21508,18598,12973,13334,8461,4727,2625,384,9,91863,86426
"Grenada",2018,121853,2045.0001,10254,29361,48125,80994,2052,8209,10014,9093,9041,20941,19547,13006,13283,8867,4741,2647,410,9,92483,87252
"Grenada",2019,122737,2026,10216,29629,48042,81380,2038.0001,8190,10108,9305,8849,20378,20429,13113,13166,9284,4789,2657,434,9,93099,87953
"Grenada",2020,123672,2002.0001,10151,29841,48030,81846,2019,8149,10171,9519,8702,19905,21193,13341,13010,9697,4868,2652,454,9,93822,88617
"Guadeloupe",2015,399094,4997,25283,81759,137285,252472,5146,20286,26730,29746,30448,42262,38390,59122,58576,44000,26854,13878,3574,231,317104,298539
"Guadeloupe",2016,397861,4802,25145,80139,136677,250577,4964,20343,25854,29140,30389,43660,36041,57030,59519,44933,27810,14309,3784,247,317475,298966
"Guadeloupe",2017,397027,4601,24647,78490,135780,249101,4774,20046,25273,28570,30276,45394,34130,54795,60210,45819,28897,14755,3996,265,318272,299977
"Guadeloupe",2018,396273,4453,23803,76838,134551,247804,4577,19350,25098,27937,30054,47271,32671,52434,60583,46680,30097,15166,4194,285,319150,301193
"Guadeloupe",2019,395487,4398,23044,75323,133013,246370,4430,18646,25019,27260,29576,49188,31610,49937,60676,47560,31331,15579,4396,311,319853,302308
"Guadeloupe",2020,395649,4394,22487,73995,131664,245735,4385,18093,24966,26542,29070,51387,31217,47424,60603,48463,32539,16011,4600,340,321314,304121
"Guam",2015,167996,3207,16304,45164,72884,107934,3192,13097,14705,14155,14559,24344,19505,22402,19767,13388,6080,2412,352,23,122809,114018
"Guam",2016,168362,3172,16111,45259,72808,107398,3175,12939,15091,14057,14366,24383,19122,21888,20150,13766,6429,2579,394,26,123077,114444
"Guam",2017,168619,3082,15792,45319,72637,106810,3140,12710,15491,14036,14130,24416,18829,21297,20478,14093,6843,2741,445,28,123272,114811
"Guam",2018,168696,2908,15339,45240,72291,106185,3050,12431,15819,14082,13887,24428,18624,20637,20745,14398,7307,2896,503,31,123425,115113
"Guam",2019,168632,2793,14910,45064,71821,105515,2877,12117,15970,14184,13661,24394,18488,19939,20938,14706,7804,3041,564,33,123535,115329
"Guam",2020,169245,2750,14489,44928,71632,105509,2774,11739,15931,14508,13579,24599,18587,19321,21073,15035,8306,3161,621,35,124282,116090
"Guatemala",2015,16001105,402860,1971661,5786145,9239511,9507777,396687,1568801,1903658,1910826,1820357,3027921,2104046,1322561,898490,581922,304010,134836,20332,485,10214475,9104788
"Guatemala",2016,16291004,406227,1985961,5802417,9309385,9757628,400591,1579734,1909684,1906772,1842011,3101211,2173769,1373160,920192,605454,312794,137258,22179,559,10488028,9366218
"Guatemala",2017,16578718,405272,1995751,5815360,9372054,10006708,404046,1590479,1918625,1900984,1861778,3169864,2245016,1427801,943408,628402,323104,139210,24133,642,10762716,9629385
"Guatemala",2018,16850176,399092,1997404,5822663,9418111,10243310,403050,1598312,1928543,1896716,1874230,3229698,2316923,1485860,967752,649924,335211,140988,26194,734,11026780,9886918
"Guatemala",2019,17106338,389448,1987734,5821555,9446474,10471159,396890,1598286,1940149,1893672,1881802,3281398,2389703,1547203,993724,670349,348240,143215,28304,844,11283938,10144775
"Guatemala",2020,17362716,377738,1963440,5812782,9464991,10707740,387620,1585702,1954343,1894999,1886702,3336576,2465121,1613641,1021730,688700,360067,145883,30513,1001.00006,11548933,10413755
"Guernsey",2015,61657,587,3180,9372,16691,40842,618,2593,3167,3025,3388,7909,7634,9149,9089,7358,4605,2567,556,30,52255,50268
"Guernsey",2016,61612,571,3075,9236,16235,40548,582,2504,3198,2963,3240,7758,7599,8855,9321,7506,4838,2628,601,30,52346,50441
"Guernsey",2017,61624,559,2974,9218,16038,40380,571,2415,3245,2999,3169,7674,7661,8624,9415,7467,5080,2662,623,31,52375,50518
"Guernsey",2018,61908,554,2946,9489,16614,40714,578,2392,3331,3212,3355,7914,7900,8583,9244,7132,5091,2580,589,31,52388,50436
"Guernsey",2019,62391,566,2982,9877,17565,41407,583,2416,3405,3490,3664,8350,8214,8626,9021,6646,4985,2441,537,30,52484,50348
"Guernsey",2020,62823,585,3026,10132,18276,42067,589,2441,3417,3689,3888,8718,8442,8648,8957,6270,4911,2329,498,30,52661,50374
"Guinea",2015,11626003,411631,1914776,5037243,7497173,6186372,391695,1503145,1665110,1457357,1322835,2035619,1204234,829499,587793,357103,193613,54374,3684,6,6588754,5777649
"Guinea",2016,11930991,419813,1951456,5142125,7660756,6378379,401002,1531643,1704857,1485812,1346699,2112101,1257496,845695,604756,365890,196800,55567,3853,9,6788857,5964877
"Guinea",2017,12240791,423777,1986889,5248611,7820488,6572996,409338,1563112,1742457,1519265,1366372,2187692,1316558,863238,621723,376118,199618,56830,4020,11,6992169,6155737
"Guinea",2018,12554871,426378,2018973,5354070,7976112,6772408,413555,1592595,1777630,1557467,1386730,2259219,1381166,882916,638546,388104,201798,58121,4187,14,7200787,6353080
"Guinea",2019,12877537,430483,2048261,5458117,8131655,6981135,416497,1617778,1811253,1598603,1410393,2327902,1450763,905904,655303,403070,202315,59392,4361,17,7419403,6557910
"Guinea",2020,13205157,435745,2073967,5560605,8288588,7197317,420903,1638222,1846468,1640170,1436350,2395090,1524295,932083,671400,417059,203606,60163,4487,19,7644533,6764657
"Guinea-Bissau",2015,1788931,60636,288049,764934,1116208,977000,59059,227413,255123,221762,189697,306410,231584,136101,83040,50292,20366,5964,535,8,1023989,906676
"Guinea-Bissau",2016,1834554,60563,291241,779706,1141005,1006202,59180,230678,260161,228304,194984,312698,239057,143702,84553,52454,20860,5994,538,8,1054840,934361
"Guinea-Bissau",2017,1879835,60158,292751,792899,1164737,1036445,59188,232593,265174,234974,200546,319642,246171,151620,86327,54549,21499,6029,545,8,1086928,962947
"Guinea-Bissau",2018,1924954,60012,293113,804645,1187473,1067842,58864,233101,270252,241280,206503,327260,253221,159369,88531,56523,22283,6061,550,8,1120301,992432
"Guinea-Bissau",2019,1970460,60395,293372,815705,1209757,1100192,58789,232977,275383,246950,212692,335484,259953,167073,91314,58343,23230,6100,558,8,1154747,1022860
"Guinea-Bissau",2020,2015839,60859,294029,826151,1231691,1133249,59229,233170,280009,252113,219038,344660,265634,175065,94628,59816,24201,6083,555,8,1189680,1053880
"Guyana",2015,755043,15710,77389,227148,378461,488016,15549,61679,74880,74879,78398,129254,98265,90068,69438,38753,16955,5672,1057,35,527860,480775
"Guyana",2016,759097,15696,77443,226834,377905,490953,15572,61747,75209,74182,77395,131885,96839,90371,70996,40291,17516,5830,1106,34,532229,485912
"Guyana",2017,763265,15659,77438,226874,376855,493598,15563,61779,75551,73885,76154,134326,95733,90523,72382,41892,18182,6031,1135,33,536358,490967
"Guyana",2018,785518,15812,78138,228580,382673,512112,15697,62326,76163,74279,76793,143383,99353,92396,74379,43922,19105,6361,1209,37,556901,511496
"Guyana",2019,798761,16129,78757,229881,384492,522163,15767,62628,76617,74507,76109,148270,101579,93277,75851,45860,20006,6652,1231,45,568835,523894
"Guyana",2020,797207,16129,78854,230168,380415,518827,15951,62725,76780,74534,73887,146712,101098,92499,76524,47501,20761,6829,1179,49,566990,522999
"Haiti",2015,10563762,257359.98,1256625,3611683,5770899,6517082,252047,999265,1195527,1159531,1114584,1997360,1467255,985571,705590,423570,207012,48385,2749,3,6952076,6274899
"Haiti",2016,10713845,258605.02,1259016,3625852,5796580,6641263,253209,1000411,1204205,1162631,1122424,2017571,1512427,1011154,722353,437054,212018,50192,2797,3,7087990,6405824
"Haiti",2017,10863546,259739.98,1262038,3642318,5823670,6761884,254596,1002298,1212902,1167378,1127769,2034515,1557085,1039687,739145,451533,216441,52198,2852,3,7221225,6536354
"Haiti",2018,11012427,260040.02,1266643,3659221,5850669,6880320,255909,1006603,1220034,1172544,1132146,2048529,1600999,1070888,755954,467821,219642,54309,2915,3,7353203,6667865
"Haiti",2019,11160441,260178.02,1271383,3675404,5877484,6997837,256349,1011205,1226158,1177863,1136338,2060311,1643988,1104587,772647,484526,223299,56346,2992,3,7485034,6799059
"Haiti",2020,11306804,260363,1275296,3690861,5904152,7114698,256630,1014933,1230965,1184600,1139412,2071576,1685942,1140801,789434,499393,228303,58017,3062,3,7615940,6927109
"High-income countries",2015,1215900900,13247546,67248720,204517710,353054430,805413250,13301584,54001176,69028210,68240780,71452830,158314270,169066750,172672750,163115230,133346850,87087580,46516660,9511388,298858,1011084350,968621760
"High-income countries",2016,1222446100,13212939,67010016,204604830,352025730,806901600,13302728,53797076,69387660,68207160,71113464,157916960,169080540,172743840,164255280,136397090,88595920,47477424,9952432,308351,1017532900,975228740
"High-income countries",2017,1228872200,13067746,66695750,204785660,351266700,808093060,13271967,53628010,69426760,68663150,70786264,157607630,169227200,172643330,165188130,138131780,91366300,48439770,10379157,317001,1023769540,981711300
"High-income countries",2018,1235045600,12798729,66215680,204758100,350564100,809508000,13121870,53416950,69176800,69365610,70540090,157131120,169505300,172271900,166230610,139477470,94656940,49392650,10757449,324029,1029963500,988209200
"High-income countries",2019,1240855700,12548751,65537610,204439620,349675000,810577860,12849700,52988856,68870650,70031360,70313820,156445810,169715730,171955820,167136060,141181780,97752776,50393856,11179732,340706,1036075400,994535040
"High-income countries",2020,1244106800,12293214,64493510,203556400,347817570,809779400,12584345,52200296,68589490,70473400,69863144,155014800,169330930,171655600,167851500,143303500,100215190,51343336,11601519,370817,1040179500,998708200
"Honduras",2015,9294510,208155,1039443,3178687,5142549,5788895,207299,831288,1060468,1078776,1032618,1753650,1364860,877394,559669,339674,142015,42306,3604,33,6115790,5483850
"Honduras",2016,9460798,208876,1038273,3169247,5168388,5947580,207567,829397,1054486,1076488,1048530,1790543,1402852,920155,577680,356270,147835,43876,3778,32,6291519,5650723
"Honduras",2017,9626845,209895,1039220,3160577,5190930,6104580,208298,829325,1048480,1072877,1061458,1827613,1438922,965070,596595,372382,154719,45533,3946,30,6466238,5820794
"Honduras",2018,9792854,211036,1042112,3153457,5210155,6259345,209328,831076,1042867,1068478,1070207,1865413,1473370,1011329,617014,387744,162946,47227,4117,30,6639367,5992785
"Honduras",2019,9958832,212147,1046439,3148144,5226430,6411658,210481,834292,1038153,1063552,1073851,1904149,1506575,1058549,639438,402534,172372,48875,4313,32,6810656,6164800
"Honduras",2020,10121762,213080,1051439,3144533,5240395,6560498,211604,838359,1035038,1058056,1073645,1942176,1539232,1105942,663708,415744,182291,49995,4462,34,6977195,6333066
"Hong Kong",2015,7399845,60285,305588,858317,1694767,5394643,59328,245303,280629,272100,372102,991577,1148850,1146977,1260497,846369,436153,274288,61566,3149,6538379,6335741
"Hong Kong",2016,7435925,68103,305822,867132,1669115,5371051,58289,237719,294549,266761,345518,978131,1152648,1138640,1262933,895292,444369,282147,65557,3558,6565235,6376496
"Hong Kong",2017,7461508,74603,317136,885905,1648706,5329997,68080,242533,303406,265363,318572,954505,1148738,1135686,1253841,938141,461974,290646,69547,3953,6571650,6393403
"Hong Kong",2018,7481563,69091,327323,901423,1625094,5284643,74578,258232,305402,268698,297926,923184,1142922,1133541,1240504,978041,486589,299029,74055,4349,6575791,6406732
"Hong Kong",2019,7496121,64587.996,334521,913646,1598306,5232937,69069,269933,304142,274983,283970,882630,1135629,1132280,1226094,1015669,516866,305784,78830,4723,6577752,6416276
